Customer_ID,Age,Annual_Income,Spending_Score,Cluster
1000,56,24000,56,3
1001,46,90588,94,4
1002,32,121042,63,1
1003,60,113610,48,1
1004,25,140420,61,1
1005,38,123691,81,1
1006,56,126306,26,0
1007,36,117856,36,0
1008,40,58304,1,2
1009,28,131783,8,0
1010,28,89449,99,4
1011,41,102986,52,1
1012,53,109643,79,1
1013,57,40764,47,3
1014,41,128940,56,1
1015,20,106027,86,1
1016,39,58494,14,2
1017,19,23373,90,4
1018,41,32161,28,2
1019,61,117532,87,1
1020,47,112658,78,1
1021,55,143633,88,1
1022,19,120386,2,0
1023,38,47350,26,2
1024,50,113008,14,0
1025,29,114297,59,1
1026,39,45351,56,3
1027,61,108668,7,0
1028,42,134585,3,0
1029,44,35305,23,2
1030,59,95353,18,0
1031,45,96797,38,0
1032,33,85953,99,4
1033,32,77458,15,2
1034,64,127112,64,1
1035,61,40358,89,4
1036,20,23267,28,2
1037,54,102745,74,1
1038,24,109588,39,0
1039,38,58513,57,3
1040,26,46092,17,2
1041,56,31338,86,4
1042,35,20412,90,4
1043,21,27543,44,3
1044,42,125891,25,0
1045,31,53496,17,2
1046,26,80692,13,2
1047,43,109084,84,1
1048,19,112920,25,0
1049,37,143555,68,1
1050,45,64425,10,2
1051,64,58756,67,3
1052,24,38888,18,2
1053,61,55735,86,4
1054,25,67295,34,2
1055,64,137474,8,0
1056,52,134352,40,0
1057,31,103042,83,1
1058,34,105999,42,0
1059,53,37955,41,3
1060,57,57841,6,2
1061,21,90640,52,1
1062,19,85510,26,2
1063,23,54911,64,3
1064,59,79031,98,4
1065,21,108726,59,1
1066,46,27357,56,3
1067,35,52479,59,3
1068,43,81476,70,4
1069,61,64811,33,2
1070,51,56208,53,3
1071,27,40150,22,2
1072,53,91180,21,0
1073,31,63286,70,4
1074,48,132856,70,1
1075,32,88450,4,0
1076,25,41352,94,4
1077,31,75069,75,4
1078,40,131888,62,1
1079,57,130448,62,1
1080,38,34397,94,4
1081,33,61555,95,4
1082,62,66959,24,2
1083,35,20728,55,3
1084,64,70517,9,2
1085,41,139180,3,0
1086,43,86234,31,2
1087,42,59954,40,2
1088,62,67280,36,2
1089,58,99459,24,0
1090,46,36779,95,4
1091,32,83932,6,2
1092,62,92936,66,1
1093,18,44466,84,4
1094,42,56939,92,4
1095,24,89896,75,4
1096,26,55270,4,2
1097,41,79163,79,4
1098,18,102637,6,0
1099,61,71934,94,4
1100,25,84895,51,3
1101,41,52307,62,3
1102,28,74098,57,3
1103,34,80921,66,4
1104,25,25486,79,3
1105,52,28335,75,3
1106,52,106900,8,0
1107,50,146020,26,0
1108,22,141954,51,1
1109,59,122795,45,1
1110,56,109112,44,0
1111,58,117203,5,0
1112,45,31130,70,3
1113,24,107508,26,0
1114,26,125955,68,1
1115,25,138324,19,0
1116,29,80566,84,4
1117,51,86703,97,4
1118,50,47192,20,2
1119,40,21062,12,2
1120,41,104076,47,1
1121,54,109780,1,0
1122,52,41545,90,4
1123,61,41689,14,2
1124,57,31174,64,3
1125,39,108461,38,0
1126,44,146174,37,0
1127,52,123033,11,0
1128,18,29348,77,3
1129,52,43714,3,2
1130,54,58102,33,2
1131,64,94460,6,0
1132,31,122634,50,1
1133,20,109930,10,0
1134,18,26801,5,2
1135,22,123150,23,0
1136,43,92267,10,0
1137,31,68136,44,3
1138,56,43625,2,2
1139,44,102873,13,0
1140,26,120843,40,0
1141,32,92592,2,0
1142,32,97052,84,1
1143,43,64261,65,3
1144,59,21542,63,3
1145,30,41677,73,3
1146,49,66732,17,2
1147,56,70343,9,2
1148,49,59081,75,4
1149,21,82856,15,2
1150,47,113105,24,0
1151,54,108858,38,0
1152,40,39065,35,2
1153,56,144097,94,1
1154,62,103460,95,1
1155,32,108092,49,1
1156,60,146116,69,1
1157,46,74693,62,3
1158,53,46962,60,3
1159,30,48295,50,3
1160,49,33807,78,3
1161,24,62348,75,4
1162,39,46432,9,2
1163,45,103285,34,0
1164,19,126995,76,1
1165,59,111792,99,1
1166,62,77854,35,2
1167,23,60262,1,2
1168,45,57080,40,2
1169,45,21324,64,3
1170,61,111267,22,0
1171,61,144707,60,1
1172,37,55909,64,3
1173,47,109339,93,1
1174,28,39870,72,3
1175,45,54578,11,2
1176,42,92124,14,0
1177,56,137611,60,1
1178,50,123605,30,0
1179,18,46790,35,2
1180,44,138874,85,1
1181,30,45289,37,2
1182,58,75129,5,2
1183,20,113714,83,1
1184,56,114246,78,1
1185,23,35485,26,2
1186,25,64482,62,3
1187,44,106188,4,0
1188,26,24748,89,4
1189,54,106769,42,0
1190,50,29435,89,4
1191,59,23709,18,2
1192,61,143961,40,0
1193,41,50355,72,3
1194,32,75771,39,2
1195,49,77799,14,2
1196,49,33116,32,2
1197,41,45470,51,3
1198,58,62344,38,2
1199,29,62918,97,4
1200,56,72224,23,2
1201,19,59298,63,3
1202,20,128492,15,0
1203,54,100219,97,4
1204,34,81629,25,2
1205,19,86040,17,2
1206,19,119518,97,1
1207,45,119835,66,1
1208,40,48016,78,4
1209,54,43960,53,3
1210,49,53591,51,3
1211,50,102848,39,0
1212,18,123333,51,1
